                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0699,                0.64656,                 1.0702,                0.99389,                      1,                  0.995,                0.75941,                0.89319,                0.53958,                 1.0234,              0.0018614,              0.0018614,              0.0018614
                     37,                  1.012,                0.59878,                 1.0677,                0.99558,                      1,                  0.995,                 0.8079,                0.83083,                0.47419,                0.99364,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.0414,                0.59204,                 1.0802,                0.99558,                      1,                  0.995,                 0.8079,                0.83083,                0.47419,                0.99364,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.0426,                0.60005,                 1.0644,                0.99626,                      1,                  0.995,                 0.7624,                0.82962,                0.50476,                 1.0014,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.0235,                0.59831,                  1.114,                0.99553,                      1,                  0.995,                0.75653,                0.94132,                0.56129,                 1.0409,              0.0018456,              0.0018456,              0.0018456
                     41,                 1.0596,                0.61858,                 1.1187,                0.99364,                      1,                  0.995,                0.80081,                0.81596,                0.54932,                0.98524,              0.0018416,              0.0018416,              0.0018416
                     42,                0.97362,                0.57102,                 1.0726,                0.99408,                      1,                  0.995,                0.77882,                0.90606,                0.47942,                 1.0592,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.0466,                0.60111,                 1.0942,                0.99189,                      1,                  0.995,                0.73076,                 1.0438,                0.51352,                  1.126,              0.0018337,              0.0018337,              0.0018337
                     44,                      1,                0.61366,                 1.0692,                0.93988,                      1,                0.99318,                0.77889,                0.85594,                0.54041,                 1.0155,              0.0018297,              0.0018297,              0.0018297
                     45,                  1.007,                0.59377,                  1.049,                0.97515,                      1,                  0.995,                0.74668,                0.89767,                0.56861,                 1.0266,              0.0018258,              0.0018258,              0.0018258
                     46,                 0.9524,                0.57807,                 1.0313,                0.97515,                      1,                  0.995,                0.74668,                0.89767,                0.56861,                 1.0266,              0.0018218,              0.0018218,              0.0018218
                     47,                 0.9752,                0.54771,                 1.0312,                0.98983,                      1,                  0.995,                 0.7323,                0.88774,                0.54052,                 1.0152,              0.0018178,              0.0018178,              0.0018178
                     48,                 1.0223,                 0.6437,                 1.1222,                0.99351,                      1,                  0.995,                0.75933,                0.81617,                0.55353,                 0.9798,              0.0018139,              0.0018139,              0.0018139
                     49,                0.95678,                0.56607,                 1.0431,                0.99191,                      1,                  0.995,                0.77821,                0.72348,                0.52877,                0.93522,              0.0018099,              0.0018099,              0.0018099
                     50,                0.99006,                0.61187,                 1.1375,                0.99247,                      1,                  0.995,                0.78478,                0.75355,                0.48533,                0.94721,               0.001806,               0.001806,               0.001806
                     51,                0.97405,                0.55757,                 1.0844,                0.99574,                      1,                  0.995,                0.82364,                 0.7901,                0.48511,                0.97658,               0.001802,               0.001802,               0.001802
                     52,                 0.9269,                0.52208,                0.99959,                0.99498,                      1,                  0.995,                0.80721,                0.81972,                0.54623,                0.98899,               0.001798,               0.001798,               0.001798
                     53,                0.90793,                0.52172,                 1.0203,                 0.9961,                      1,                  0.995,                0.81997,                0.68699,                 0.4157,                0.93382,              0.0017941,              0.0017941,              0.0017941
