                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3023,                0.76681,                 1.3403,                0.99578,                      1,                  0.995,                0.64444,                 1.2181,                 0.6854,                 1.2604,              0.0018654,              0.0018654,              0.0018654
                     36,                  1.072,                0.66053,                 1.0127,                0.90708,                      1,                0.98467,                0.68602,                 1.1437,                0.64024,                 1.2103,              0.0018614,              0.0018614,              0.0018614
                     37,                 1.2033,                0.68065,                 1.1932,                0.90708,                      1,                0.98467,                0.68602,                 1.1437,                0.64024,                 1.2103,              0.0018574,              0.0018574,              0.0018574
                     38,                  1.118,                  0.662,                  1.076,                0.90708,                      1,                0.98467,                0.68602,                 1.1437,                0.64024,                 1.2103,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.0594,                0.82046,                 1.1178,                0.87875,                      1,                0.98009,                0.68686,                 1.0926,                0.89972,                 1.1332,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.1405,                0.64839,                 1.0723,                0.87875,                      1,                0.98009,                0.68686,                 1.0926,                0.89972,                 1.1332,              0.0018456,              0.0018456,              0.0018456
                     41,                  1.191,                0.72127,                 1.1221,                      1,                0.94529,                  0.995,                0.65097,                 1.1932,                0.93845,                 1.2065,              0.0018416,              0.0018416,              0.0018416
                     42,                 1.1741,                0.66201,                 1.0935,                      1,                0.94529,                  0.995,                0.65097,                 1.1932,                0.93845,                 1.2065,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.1698,                0.89484,                 1.2404,                      1,                0.94529,                  0.995,                0.65097,                 1.1932,                0.93845,                 1.2065,              0.0018337,              0.0018337,              0.0018337
                     44,                 1.1834,                0.80192,                 1.3601,                0.92047,                      1,                0.99091,                0.67179,                 1.1157,                0.84254,                 1.2294,              0.0018297,              0.0018297,              0.0018297
                     45,                 1.1263,                0.75839,                 1.2127,                0.92047,                      1,                0.99091,                0.67179,                 1.1157,                0.84254,                 1.2294,              0.0018258,              0.0018258,              0.0018258
                     46,                0.95785,                0.61292,                 1.0122,                0.92047,                      1,                0.99091,                0.67179,                 1.1157,                0.84254,                 1.2294,              0.0018218,              0.0018218,              0.0018218
                     47,                 1.0448,                0.62012,                 1.0252,                0.98708,                      1,                  0.995,                0.59825,                 1.2849,                0.91058,                 1.4717,              0.0018178,              0.0018178,              0.0018178
                     48,                0.93916,                0.57568,                 1.0378,                0.98708,                      1,                  0.995,                0.59825,                 1.2849,                0.91058,                 1.4717,              0.0018139,              0.0018139,              0.0018139
                     49,                 1.0441,                  0.576,                 1.1041,                0.87097,                      1,                0.98283,                0.56766,                 1.4046,                 1.2308,                 1.4194,              0.0018099,              0.0018099,              0.0018099
                     50,                 1.0084,                0.58622,                 1.0374,                0.87097,                      1,                0.98283,                0.56766,                 1.4046,                 1.2308,                 1.4194,               0.001806,               0.001806,               0.001806
                     51,                 1.0206,                0.60701,                 1.0416,                0.87097,                      1,                0.98283,                0.56766,                 1.4046,                 1.2308,                 1.4194,               0.001802,               0.001802,               0.001802
                     52,                 1.0773,                0.63281,                  1.126,                0.99978,                      1,                  0.995,                0.63347,                 1.1809,                0.81652,                 1.2559,               0.001798,               0.001798,               0.001798
                     53,                 1.0521,                0.58273,                 1.0574,                0.99978,                      1,                  0.995,                0.63347,                 1.1809,                0.81652,                 1.2559,              0.0017941,              0.0017941,              0.0017941
                     54,                 1.0203,                0.57969,                 1.0978,                0.99978,                      1,                  0.995,                0.63347,                 1.1809,                0.81652,                 1.2559,              0.0017901,              0.0017901,              0.0017901
                     55,                 1.0256,                0.61443,                 1.0404,                0.94065,                      1,                  0.995,                0.67382,                  1.191,                0.67796,                 1.2142,              0.0017862,              0.0017862,              0.0017862
